BIB,COD,ERG,FAN,GJAH,LUK,MYR,NUS,PKD,RAS,id,SIS,TOK,UIN,VOL,WET,KAT,XIN,Class
25,iii,www,292.0,iii,0.0,fff,2920000.0,jjj,f,20,5.75,t,32.75,f,0,ddd,f,n
164,uuu,www,288.0,iii,0.0,ooo,2880000.0,xxx,,21,0.25,f,39.83,t,0,ddd,f,n
78,iii,aaa,,rrr,18.0,mmm,,xxx,,22,0.165,f,40.33,f,2,ccc,t,n
131,iii,aaa,80.0,rrr,0.0,eee,800000.0,xxx,,23,4.0,f,35.25,t,0,ddd,f,n
27,iii,aaa,200.0,rrr,456.0,kkk,2000000.0,ff,f,24,4.5,f,24.33,f,0,ccc,f,n
154,iii,www,120.0,iii,18.0,eee,1200000.0,xxx,f,25,1.0,f,15.75,f,0,ccc,f,n
50,uuu,www,240.0,iii,0.0,mmm,2400000.0,jjj,,26,1.0,t,45.0,f,0,ccc,f,n
10,iii,www,0.0,iii,33.0,yyy,0.0,jjj,,27,0.04,f,30.42,f,3,ccc,t,n
40,iii,www,300.0,iii,0.0,fff,3000000.0,xxx,,28,3.0,t,,t,0,ccc,f,n
155,iii,www,160.0,iii,40.0,mmm,1600000.0,xxx,,29,0.04,t,17.25,f,0,ddd,f,n
163,iii,www,980.0,iii,0.0,ee,9800000.0,xxx,,30,13.5,t,38.58,t,0,ccc,f,n
171,iii,www,400.0,iii,9.0,kkk,4000000.0,xxx,,31,1.585,t,22.67,f,1,ddd,t,n
12,iii,www,100.0,iii,27.0,lll,1000000.0,lll,f,32,0.0,t,49.0,t,0,ccc,f,n
12,iii,www,100.0,iii,3.0,yyy,1000000.0,xxx,,33,2.25,t,27.83,f,1,ddd,t,n
8,iii,www,108.0,iii,98.0,sss,1080000.0,xxx,t,34,0.25,f,16.5,f,1,ccc,t,n
22,iii,aaa,188.0,rrr,0.0,ee,1880000.0,xxx,f,35,4.0,f,25.67,t,0,ddd,f,n
152,iii,www,221.0,iii,0.0,kkk,2210000.0,xxx,,36,0.25,t,36.67,f,0,ddd,f,n
174,iii,www,100.0,iii,0.0,ee,1000000.0,xxx,f,37,1.165,f,26.17,f,0,ddd,f,n
163,iii,aaa,0.0,rrr,0.0,ee,0.0,xxx,f,38,8.5,f,,t,0,ddd,f,n
171,iii,www,333.0,iii,892.0,sss,3330000.0,jjj,,39,2.75,f,47.25,t,1,ccc,t,y
154,iii,www,300.0,iii,44.0,ee,3000000.0,xxx,,40,0.375,f,33.67,f,0,ccc,f,y
80,iii,www,88.0,iii,2000.0,ee,880000.0,jjj,t,41,14.0,t,45.0,t,1,ddd,t,y
2,iii,www,164.0,iii,31285.0,ttt,1640000.0,jjj,,42,6.5,t,33.17,t,0,ddd,f,y
176,iii,www,160.0,iii,5860.0,zzz,1600000.0,jjj,f,43,1.04,t,25.0,t,0,ccc,f,y
17,iii,aaa,160.0,rrr,5777.0,eee,1600000.0,xxx,,44,1.0,t,26.67,t,5,ddd,t,y
46,iii,www,225.0,iii,0.0,ooo,2250000.0,xxx,,45,0.125,t,48.5,t,0,ddd,f,y
19,iii,www,400.0,iii,5800.0,yyy,4000000.0,xxx,,46,0.04,t,37.42,t,0,ddd,f,y
145,iii,www,200.0,iii,40.0,sss,2000000.0,ppp,f,47,0.21,f,18.0,f,0,ddd,f,y
129,iii,www,0.0,iii,247.0,lll,0.0,hh,t,48,0.0,f,56.5,t,15,ccc,t,y
164,iii,www,312.0,iii,0.0,eee,3120000.0,xxx,t,49,1.46,t,25.75,t,5,ddd,t,y
99,iii,www,0.0,iii,560.0,sss,0.0,xxx,,50,0.415,t,22.58,t,5,ccc,t,y
34,iii,aaa,180.0,rrr,18027.0,eee,1800000.0,jjj,t,51,2.04,t,33.17,t,1,ddd,t,y
17,iii,aaa,393.0,rrr,0.0,ggg,3930000.0,jjj,,52,0.04,t,32.0,t,0,ddd,f,y
91,iii,www,29.0,iii,837.0,sss,290000.0,jjj,,53,1.75,f,40.83,t,0,ccc,f,y
13,iii,www,260.0,iii,0.0,sss,2600000.0,xxx,f,54,0.125,t,59.67,t,0,ddd,f,y
54,iii,aaa,52.0,rrr,1442.0,yyy,520000.0,xxx,,55,3.165,t,42.5,t,0,ddd,f,y
127,iii,aaa,0.0,rrr,13212.0,ggg,0.0,bbb,,56,0.0,f,28.08,t,0,ccc,f,y
60,iii,www,228.0,iii,0.0,sss,2280000.0,xxx,f,57,0.125,t,37.75,t,0,ccc,f,y
88,iii,www,0.0,iii,0.0,ggg,0.0,xxx,,58,8.665,f,53.92,t,5,ddd,t,y
151,iii,www,0.0,iii,15000.0,eee,0.0,ff,t,59,15.0,f,47.67,t,20,ddd,t,y
147,uuu,www,300.0,iii,0.0,eee,3000000.0,xxx,f,60,0.835,f,23.25,t,0,ddd,f,y
28,iii,aaa,0.0,rrr,0.0,eee,0.0,jjj,f,61,2.585,f,22.67,t,0,ddd,f,y
85,iii,www,30.0,iii,300.0,hh,300000.0,hh,,62,14.415,t,54.58,t,11,ddd,t,y
155,iii,www,0.0,iii,0.0,ee,0.0,jjj,,63,7.415,t,34.25,t,0,ddd,f,y
19,iii,aaa,370.0,rrr,560.0,ee,3700000.0,xxx,,64,2.0,t,27.58,t,3,ddd,t,y
158,iii,www,100.0,iii,960.0,lll,1000000.0,lll,,65,0.0,f,46.0,t,0,ccc,f,y
163,iii,www,0.0,iii,99.0,ee,0.0,xxx,t,66,4.0,f,60.92,t,4,ccc,t,y
155,iii,www,519.0,iii,1704.0,zzz,5190000.0,xxx,,67,13.875,t,47.42,t,2,ccc,t,y
68,iii,www,93.0,iii,0.0,ooo,930000.0,jjj,,68,4.25,t,37.33,t,12,ddd,t,y
27,iii,aaa,0.0,rrr,2.0,eee,0.0,xxx,f,69,2.5,t,33.25,f,0,ccc,f,n
167,iii,www,400.0,iii,0.0,ee,4000000.0,jjj,,70,1.75,f,24.58,t,0,ccc,f,n
13,iii,www,356.0,iii,0.0,mmm,3560000.0,xxx,,71,0.085,t,21.83,f,0,ddd,f,n
173,iii,www,600.0,iii,0.0,ggg,6000000.0,xxx,,72,1.0,f,15.17,f,0,ddd,f,n
36,iii,aaa,160.0,rrr,1058.0,eee,1600000.0,xxx,,73,0.165,f,22.92,f,0,ddd,f,n
168,uuu,www,0.0,iii,0.0,hh,0.0,hh,f,74,0.0,f,69.5,f,0,ccc,f,n
27,iii,aaa,280.0,rrr,0.0,yyy,2800000.0,xxx,,75,7.0,t,33.0,f,0,ddd,f,n
18,iii,www,200.0,iii,53.0,lll,2000000.0,lll,,76,0.0,f,23.0,f,1,ccc,t,n
172,iii,www,420.0,iii,283.0,yyy,4200000.0,xxx,,77,0.29,f,22.0,f,1,ddd,t,n
160,iii,www,120.0,iii,1.0,ooo,1200000.0,xxx,,78,1.0,t,24.75,f,0,ddd,f,n
56,iii,aaa,140.0,rrr,184.0,lll,1400000.0,xxx,,79,0.29,f,20.75,f,0,ddd,f,n
171,uuu,www,320.0,iii,0.0,ooo,3200000.0,xxx,,80,0.5,t,23.0,t,0,ddd,f,n
174,uuu,aaa,240.0,rrr,0.0,eee,2400000.0,xxx,f,81,2.0,t,20.67,f,0,ddd,f,n
142,iii,aaa,0.0,rrr,0.0,hh,0.0,hh,f,82,0.0,t,48.75,t,0,ddd,f,n
155,iii,aaa,180.0,rrr,4.0,hh,1800000.0,hh,f,83,1.5,f,51.83,f,0,ddd,f,n
106,iii,www,0.0,iii,0.0,kkk,0.0,xxx,,84,0.415,f,22.75,f,0,ddd,f,n
94,iii,www,0.0,iii,50.0,hh,0.0,hh,,85,0.0,f,17.92,f,0,ccc,f,n
17,iii,aaa,150.0,rrr,1.0,,1500000.0,,f,86,0.0,t,42.25,f,0,,f,n
19,iii,www,180.0,iii,50.0,yyy,1800000.0,xxx,f,87,0.25,t,27.67,f,0,ccc,f,n
12,iii,aaa,0.0,rrr,225.0,eee,0.0,xxx,f,88,1.5,t,28.75,t,0,ddd,f,n
173,iii,www,300.0,iii,5.0,sss,3000000.0,jjj,t,89,11.5,t,37.75,t,7,ddd,t,n
6,uuu,www,280.0,iii,0.0,mmm,2800000.0,xxx,,90,0.5,f,28.75,t,0,ddd,f,n
31,iii,www,160.0,iii,25.0,hh,1600000.0,hh,f,91,4.5,f,23.5,f,0,ddd,f,n
4,iii,aaa,280.0,rrr,13.0,zzz,2800000.0,xxx,,92,1.0,f,29.5,f,0,ccc,f,n
35,iii,www,200.0,iii,4.0,hh,2000000.0,hh,,93,3.04,t,31.92,f,2,ccc,t,n
156,iii,aaa,200.0,rrr,1.0,eee,2000000.0,xxx,t,94,0.165,f,18.83,f,1,ddd,t,n
49,iii,aaa,200.0,rrr,1210.0,eee,2000000.0,ff,f,95,2.5,f,26.75,f,0,ddd,f,n
8,iii,www,92.0,iii,300.0,hh,920000.0,hh,t,96,0.0,f,27.17,f,1,ccc,t,n
64,iii,www,465.0,iii,150.0,yyy,4650000.0,xxx,f,97,5.5,f,47.17,f,0,ddd,f,n
156,iii,aaa,128.0,rrr,6.0,eee,1280000.0,xxx,,98,0.04,f,23.75,f,2,ddd,t,n
17,iii,www,160.0,iii,0.0,mmm,1600000.0,xxx,,99,0.21,f,41.58,t,0,ddd,f,n
118,iii,www,140.0,iii,1110.0,ggg,1400000.0,ff,f,100,0.0,t,26.33,f,0,ddd,f,n
16,uuu,aaa,400.0,rrr,0.0,ooo,4000000.0,xxx,,101,0.165,f,39.42,f,0,ddd,f,n
36,iii,www,680.0,iii,0.0,zzz,6800000.0,jjj,f,102,3.75,t,35.25,t,0,ddd,f,n
41,iii,aaa,180.0,rrr,1.0,hh,1800000.0,hh,f,103,0.0,t,18.83,f,0,ddd,f,n
173,iii,aaa,160.0,rrr,2.0,eee,1600000.0,xxx,,104,1.625,f,44.83,f,0,ddd,f,n
161,iii,www,145.0,iii,0.0,hh,1450000.0,hh,f,105,0.0,f,50.75,f,0,ddd,f,n
158,iii,aaa,360.0,rrr,1000.0,kkk,3600000.0,xxx,f,106,1.0,t,19.17,f,0,ddd,f,n
106,iii,www,100.0,iii,68.0,kkk,1000000.0,xxx,f,107,0.5,t,21.5,t,0,ddd,f,n
1,rrr,,,,0.0,,,,,108,0.0,f,25.58,f,0,ccc,f,y
174,iii,www,0.0,iii,0.0,sss,0.0,xxx,t,109,1.585,f,20.42,t,1,ccc,t,y
69,iii,www,0.0,iii,0.0,sss,0.0,xxx,t,110,7.375,t,44.17,t,3,ccc,t,y
127,iii,www,0.0,iii,134.0,ttt,0.0,ppp,,111,5.375,t,34.75,t,9,ddd,t,y
91,uuu,aaa,40.0,rrr,0.0,eee,400000.0,xxx,,112,2.5,f,20.5,t,0,ddd,f,y
145,uuu,www,0.0,iii,0.0,eee,0.0,lll,,113,2.25,t,22.67,f,0,ddd,f,y
175,iii,www,128.0,iii,0.0,eee,1280000.0,jjj,,114,2.165,t,22.08,f,0,ddd,f,y
51,uuu,www,0.0,iii,0.0,sss,0.0,xxx,,115,4.58,f,42.83,t,0,ddd,f,y
83,iii,aaa,80.0,rrr,500.0,eee,800000.0,xxx,t,116,1.0,t,18.92,t,4,ccc,t,y
155,iii,www,100.0,iii,6.0,sss,1000000.0,xxx,,117,0.165,f,20.67,t,3,ccc,t,y
160,iii,www,440.0,iii,11177.0,ee,4400000.0,xxx,f,118,0.04,f,32.33,t,0,ccc,f,y
127,iii,www,0.0,iii,2283.0,eee,0.0,jjj,,119,5.335,f,28.92,t,11,ddd,t,y
127,iii,www,0.0,iii,2200.0,eee,0.0,xxx,,120,5.5,f,52.83,t,14,ccc,t,y
18,iii,www,220.0,iii,2503.0,sss,2200000.0,xxx,,121,2.085,f,20.67,t,5,ccc,t,y
163,iii,www,0.0,iii,367.0,eee,0.0,ff,,122,2.5,f,36.25,t,6,ddd,t,y
91,iii,www,50.0,iii,1465.0,eee,500000.0,jjj,,123,1.0,f,20.33,t,4,ccc,t,y
171,iii,www,349.0,iii,23.0,eee,3490000.0,ff,f,124,0.25,f,25.75,t,0,ddd,f,y
154,iii,www,80.0,iii,0.0,sss,800000.0,xxx,t,125,0.585,f,28.17,t,4,ccc,t,y
166,iii,www,100.0,iii,0.0,eee,1000000.0,xxx,,126,0.165,f,23.92,f,0,ddd,f,y
114,iii,www,24.0,iii,2028.0,mmm,240000.0,jjj,,127,8.0,t,56.0,t,0,ddd,f,y
95,iii,www,49.0,iii,0.0,sss,490000.0,xxx,t,128,0.71,t,20.75,t,2,ccc,t,y
68,iii,www,0.0,iii,3065.0,eee,0.0,ff,t,129,4.0,t,30.5,t,7,ccc,t,y
98,iii,www,0.0,iii,0.0,sss,0.0,xxx,t,130,5.0,t,45.83,t,7,ccc,t,y
163,iii,www,0.0,iii,0.0,ee,0.0,xxx,t,131,3.5,t,39.0,t,10,ddd,t,y
101,iii,www,100.0,iii,0.0,ee,1000000.0,xxx,,132,0.665,f,22.08,t,0,ddd,f,y
57,iii,www,420.0,iii,7.0,zzz,4200000.0,xxx,,133,4.75,f,28.25,t,2,ddd,t,y
47,iii,aaa,240.0,rrr,0.0,eee,2400000.0,jjj,f,134,3.0,f,18.83,t,0,ccc,f,y
2,iii,www,300.0,iii,1430.0,eee,3000000.0,xxx,,135,2.5,t,28.67,t,5,ccc,t,y
79,iii,aaa,164.0,rrr,0.0,zzz,1640000.0,xxx,f,136,2.46,f,22.5,f,0,ccc,f,y
98,iii,www,0.0,iii,0.0,zzz,0.0,xxx,f,137,6.5,f,,t,0,ddd,f,y
28,iii,www,0.0,iii,1000.0,hh,0.0,hh,,138,0.0,f,36.08,f,0,ddd,f,n
40,uuu,www,1160.0,iii,0.0,kkk,11600000.0,ff,f,139,0.5,f,40.83,f,0,,f,n
8,iii,aaa,140.0,rrr,4.0,mmm,1400000.0,xxx,,140,0.125,f,20.0,f,0,ddd,f,n
141,iii,www,760.0,iii,90.0,sss,7600000.0,jjj,,141,0.21,f,43.25,t,1,ddd,t,n
10,iii,aaa,200.0,rrr,100.0,eee,2000000.0,jjj,,142,9.46,t,52.33,t,0,ddd,f,n
100,iii,www,200.0,iii,7.0,eee,2000000.0,ff,,143,0.585,t,19.33,f,2,ddd,t,n
157,iii,aaa,208.0,rrr,347.0,yyy,2080000.0,xxx,t,144,2.625,t,23.58,t,6,ddd,t,n
179,iii,www,70.0,iii,6.0,hh,700000.0,hh,,145,4.0,f,69.17,f,1,ddd,t,n
8,iii,www,80.0,iii,0.0,hh,800000.0,hh,f,146,0.0,f,24.92,t,0,ccc,f,n
161,iii,aaa,120.0,rrr,87.0,hh,1200000.0,hh,f,147,0.125,f,23.58,f,0,ccc,f,n
1,iii,www,144.0,iii,0.0,fff,1440000.0,xxx,,148,0.5,f,20.0,f,0,ddd,f,n
168,iii,www,272.0,iii,0.0,fff,2720000.0,xxx,,149,1.25,f,32.0,f,0,ccc,f,n
147,iii,aaa,176.0,rrr,537.0,fff,1760000.0,jjj,,150,3.0,f,27.83,f,0,ddd,f,n
8,iii,aaa,224.0,rrr,0.0,mmm,2240000.0,xxx,f,151,0.25,f,29.83,f,0,ddd,f,n
151,iii,aaa,160.0,rrr,0.0,eee,1600000.0,xxx,f,152,1.5,t,25.67,f,0,ddd,f,n
32,iii,www,176.0,iii,146.0,hh,1760000.0,hh,,153,0.0,f,31.25,f,5,ddd,t,n
27,iii,www,100.0,iii,4208.0,hh,1000000.0,hh,,154,0.085,t,23.08,f,0,ddd,f,n
20,iii,www,300.0,iii,0.0,eee,3000000.0,xxx,,155,0.085,f,31.0,f,0,ddd,f,n
161,iii,aaa,100.0,rrr,0.0,hh,1000000.0,hh,,156,0.0,f,22.17,f,0,ddd,f,n
158,iii,aaa,411.0,rrr,0.0,kkk,4110000.0,xxx,f,157,0.085,t,,f,0,ddd,f,n
12,iii,www,140.0,iii,0.0,eee,1400000.0,xxx,,158,2.5,t,45.17,t,0,ddd,f,n
119,iii,aaa,,rrr,0.0,hh,,hh,f,159,0.0,f,24.58,f,0,ddd,f,n
8,iii,www,120.0,iii,0.0,yyy,1200000.0,xxx,,160,1.165,f,33.67,f,0,ddd,f,n
12,uuu,www,300.0,iii,0.0,kkk,3000000.0,ff,,161,0.0,f,40.58,f,0,ddd,f,n
44,iii,www,120.0,iii,0.0,kkk,1200000.0,jjj,,162,0.415,t,16.33,f,0,ddd,f,n
26,iii,www,220.0,iii,1.0,yyy,2200000.0,xxx,t,163,0.125,f,35.75,f,2,ddd,t,n
12,iii,www,200.0,iii,105.0,hh,2000000.0,hh,,164,0.0,t,,f,2,ccc,t,n
135,iii,www,94.0,iii,0.0,hh,940000.0,hh,,165,0.0,f,49.58,t,1,ddd,t,n
60,uuu,www,100.0,iii,0.0,mmm,1000000.0,xxx,,166,5.5,t,30.25,f,0,ccc,f,n
3,uuu,www,28.0,iii,0.0,ooo,280000.0,xxx,f,167,1.165,f,34.67,f,0,ddd,f,n
174,iii,www,240.0,iii,117.0,ee,2400000.0,xxx,f,168,0.5,t,50.25,f,0,ccc,f,n
155,iii,aaa,0.0,rrr,1.0,kkk,0.0,ff,f,169,7.0,f,,f,0,ddd,f,n
152,iii,www,0.0,iii,10.0,hh,0.0,hh,t,170,6.5,f,57.58,f,1,ccc,t,n
49,iii,www,360.0,iii,6.0,yyy,3600000.0,xxx,f,171,1.0,t,24.83,f,0,ccc,f,n
179,iii,www,0.0,iii,0.0,ee,0.0,xxx,f,172,0.085,f,22.25,f,0,ddd,f,n
92,iii,aaa,260.0,rrr,0.0,ggg,2600000.0,jjj,,173,1.25,f,21.08,f,0,ddd,f,n
1,iii,aaa,0.0,rrr,0.0,hh,0.0,hh,,174,0.0,f,52.17,f,0,ccc,f,n
106,iii,aaa,20.0,rrr,16.0,mmm,200000.0,jjj,f,175,3.0,t,23.58,f,0,ccc,f,n
89,iii,www,140.0,iii,0.0,eee,1400000.0,xxx,,176,0.25,f,21.5,t,0,ddd,f,n
34,iii,aaa,70.0,rrr,0.0,zzz,700000.0,jjj,,177,2.54,f,28.5,t,1,ccc,t,y
86,iii,www,120.0,iii,2206.0,yyy,1200000.0,xxx,,178,1.5,f,19.17,t,0,ddd,f,y
168,iii,www,80.0,iii,918.0,ee,800000.0,xxx,t,179,2.5,f,21.5,t,3,ccc,t,y
139,rrr,nnn,450.0,ii,100000.0,hh,4500000.0,qqq,f,180,0.0,t,17.5,f,0,ddd,f,y
30,iii,aaa,211.0,rrr,0.0,ee,2110000.0,xxx,,181,5.25,f,26.67,t,1,ddd,t,y
46,iii,www,274.0,iii,610.0,kkk,2740000.0,ff,t,182,3.25,f,34.42,t,2,ddd,t,y
132,iii,www,0.0,iii,0.0,hh,0.0,hh,f,183,0.0,t,73.42,t,0,ddd,f,y
109,iii,www,300.0,iii,551.0,zzz,3000000.0,jjj,,184,0.5,t,23.0,t,2,ccc,t,y
27,iii,www,60.0,iii,2184.0,eee,600000.0,xxx,,185,1.085,t,23.08,t,11,ddd,t,y
68,iii,www,80.0,iii,2954.0,yyy,800000.0,jjj,t,186,1.46,f,19.42,t,7,ddd,t,y
108,iii,aaa,160.0,rrr,300.0,yyy,1600000.0,xxx,,187,0.835,t,23.33,t,0,ddd,f,y
55,iii,www,92.0,iii,0.0,sss,920000.0,jjj,,188,12.75,t,42.17,t,0,ddd,f,y
12,iii,www,150.0,iii,8.0,yyy,1500000.0,xxx,,189,1.5,f,21.25,f,0,ddd,f,y
58,iii,www,290.0,iii,6.0,yyy,2900000.0,xxx,,190,0.085,t,34.17,f,0,ddd,f,y
177,iii,www,0.0,iii,1260.0,eee,0.0,xxx,t,191,7.875,t,47.75,t,6,ccc,t,y
1,iii,www,0.0,iii,0.0,eee,0.0,xxx,,192,2.5,f,44.33,t,0,ccc,f,y
46,iii,www,117.0,iii,1210.0,eee,1170000.0,ff,t,193,6.5,f,39.5,t,16,ddd,t,y
68,iii,www,145.0,iii,0.0,sss,1450000.0,xxx,,194,0.5,t,41.17,t,3,ccc,t,y
18,iii,www,260.0,iii,200.0,eee,2600000.0,jjj,f,195,4.335,f,29.92,t,0,ddd,f,y
1,rrr,,,,0.0,,,,f,196,0.0,f,23.17,f,0,ddd,f,y
27,iii,www,150.0,iii,1270.0,mmm,1500000.0,xxx,t,197,4.5,f,35.17,t,7,ddd,t,y
81,iii,www,96.0,iii,0.0,ee,960000.0,jjj,,198,0.75,f,19.17,t,7,ccc,t,y
68,iii,www,0.0,iii,11202.0,mmm,0.0,xxx,t,199,6.29,f,52.5,t,15,ddd,t,y
67,iii,www,200.0,iii,300.0,sss,2000000.0,xxx,t,200,0.04,f,39.92,t,1,ddd,t,y
98,iii,www,0.0,iii,0.0,eee,0.0,xxx,,201,3.0,t,21.33,t,0,ddd,f,y
178,iii,www,0.0,iii,1583.0,ee,0.0,xxx,t,202,0.75,f,35.75,t,4,ccc,t,y
60,iii,www,0.0,iii,0.0,ggg,0.0,bbb,t,203,13.0,t,67.75,t,1,ddd,t,y
179,iii,aaa,154.0,rrr,0.0,yyy,1540000.0,jjj,f,204,5.25,t,32.67,t,0,ddd,f,y
75,iii,www,0.0,iii,5000.0,kkk,0.0,ff,t,205,7.585,t,49.5,t,15,ddd,t,y
155,iii,aaa,160.0,rrr,1.0,fff,1600000.0,xxx,t,206,1.085,t,21.0,t,8,ddd,t,y
173,iii,www,0.0,iii,0.0,ee,0.0,jjj,f,207,3.0,f,52.5,f,0,ccc,f,n
155,iii,aaa,180.0,rrr,0.0,ee,1800000.0,xxx,,208,2.0,f,33.25,f,0,ccc,f,n
7,iii,aaa,100.0,rrr,0.0,ggg,1000000.0,ff,f,209,0.0,f,18.33,f,0,ddd,f,n
162,iii,www,340.0,iii,2803.0,yyy,3400000.0,xxx,t,210,0.29,f,29.5,f,1,ddd,t,n
23,iii,www,160.0,iii,10.0,kkk,1600000.0,xxx,,211,0.125,f,22.17,f,0,ddd,f,n
146,uuu,www,0.0,iii,0.0,ooo,0.0,xxx,f,212,0.085,f,22.92,f,0,ddd,f,n
73,iii,www,100.0,iii,1.0,ooo,1000000.0,xxx,,213,0.04,f,19.42,f,1,ddd,t,n
114,iii,aaa,0.0,rrr,17.0,mmm,0.0,jjj,,214,1.25,t,26.17,f,0,ddd,f,n
37,iii,aaa,369.0,rrr,1.0,sss,3690000.0,jjj,t,215,5.085,t,27.58,f,2,ddd,t,n
35,iii,www,0.0,iii,6.0,yyy,0.0,xxx,,216,0.085,f,16.0,f,1,ddd,t,n
42,iii,www,40.0,iii,154.0,eee,400000.0,xxx,,217,0.25,t,28.58,f,1,ccc,t,n
12,iii,www,76.0,iii,0.0,hh,760000.0,hh,,218,0.0,f,38.75,f,0,ccc,f,n
158,iii,aaa,120.0,rrr,0.0,ee,1200000.0,xxx,f,219,1.5,t,32.08,f,0,ddd,f,n
145,uuu,www,280.0,iii,0.0,fff,2800000.0,xxx,,220,0.25,t,18.25,f,0,ddd,f,n
17,iii,aaa,160.0,rrr,0.0,lll,1600000.0,lll,,221,0.0,f,21.75,f,0,ccc,f,n
63,iii,www,120.0,iii,0.0,fff,1200000.0,xxx,f,222,0.54,f,18.58,f,0,ddd,f,n
171,uuu,www,320.0,iii,0.0,ooo,3200000.0,xxx,f,223,0.5,t,23.0,f,0,ddd,f,n
171,iii,www,200.0,iii,394.0,eee,2000000.0,xxx,,224,2.0,t,22.67,f,2,ccc,t,n
23,iii,aaa,200.0,rrr,141.0,ee,2000000.0,xxx,f,225,3.5,t,33.17,f,0,,f,n
165,iii,aaa,180.0,rrr,1.0,ee,1800000.0,xxx,,226,0.125,f,23.0,t,0,ddd,f,n
157,iii,www,280.0,iii,55.0,mmm,2800000.0,xxx,,227,0.125,t,22.25,f,0,ddd,f,n
161,iii,www,260.0,iii,1004.0,ee,2600000.0,xxx,f,228,0.04,f,28.17,f,0,,f,n
145,uuu,www,62.0,iii,27.0,hh,620000.0,hh,f,229,0.0,t,53.33,f,0,ccc,f,n
26,iii,aaa,120.0,rrr,0.0,eee,1200000.0,xxx,f,230,0.0,f,24.5,f,0,ccc,f,n
176,iii,www,174.0,iii,3.0,mmm,1740000.0,xxx,t,231,0.375,t,25.92,f,2,ddd,t,n
31,iii,www,80.0,iii,21.0,ee,800000.0,xxx,t,232,0.665,f,16.33,f,1,ddd,t,n
49,iii,www,240.0,iii,0.0,ee,2400000.0,xxx,,233,1.0,t,34.0,t,0,ddd,f,n
24,iii,www,200.0,iii,3.0,hh,2000000.0,hh,,234,0.29,f,49.17,f,0,ddd,f,n
12,iii,www,160.0,iii,0.0,yyy,1600000.0,xxx,f,235,0.875,t,23.5,f,0,ccc,f,n
166,iii,www,220.0,iii,5.0,yyy,2200000.0,xxx,,236,1.665,f,19.58,f,0,ccc,f,n
1,uuu,www,0.0,iii,0.0,eee,0.0,xxx,f,237,0.5,t,21.17,f,0,ddd,f,n
47,iii,www,160.0,iii,0.0,eee,1600000.0,xxx,f,238,0.125,f,38.33,f,0,ccc,f,n
174,iii,www,120.0,iii,5.0,ggg,1200000.0,xxx,,239,0.04,f,37.5,f,0,ddd,f,n
163,iii,aaa,0.0,rrr,0.0,hh,0.0,hh,,240,0.0,f,21.08,f,0,ccc,f,n
155,iii,www,300.0,iii,67.0,yyy,3000000.0,xxx,,241,0.75,t,28.0,f,0,ddd,f,n
155,iii,www,0.0,iii,22.0,eee,0.0,xxx,,242,1.25,f,25.17,f,1,ddd,t,n
